CircuitId,CircuitName,Location,Country
bahrain,Bahrain International Circuit,Sakhir,Bahrain
catalunya,Circuit de Barcelona-Catalunya,Montmeló,Spain
hungaroring,Hungaroring,Budapest,Hungary
imola,Autodromo Enzo e Dino Ferrari,Imola,Italy
istanbul,Istanbul Park,Istanbul,Turkey
monza,Autodromo Nazionale di Monza,Monza,Italy
mugello,Autodromo Internazionale del Mugello,Mugello,Italy
nurburgring,Nürburgring,Nürburg,Germany
portimao,Autódromo Internacional do Algarve,Portimão,Portugal
red_bull_ring,Red Bull Ring,Spielberg,Austria
silverstone,Silverstone Circuit,Silverstone,UK
sochi,Sochi Autodrom,Sochi,Russia
spa,Circuit de Spa-Francorchamps,Spa,Belgium
yas_marina,Yas Marina Circuit,Abu Dhabi,UAE
americas,Circuit of the Americas,Austin,USA
baku,Baku City Circuit,Baku,Azerbaijan
interlagos,Autódromo José Carlos Pace,São Paulo,Brazil
jeddah,Jeddah Corniche Circuit,Jeddah,Saudi Arabia
losail,Losail International Circuit,Al Daayen,Qatar
monaco,Circuit de Monaco,Monte-Carlo,Monaco
ricard,Circuit Paul Ricard,Le Castellet,France
rodriguez,Autódromo Hermanos Rodríguez,Mexico City,Mexico
zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands
albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia
marina_bay,Marina Bay Street Circuit,Marina Bay,Singapore
miami,Miami International Autodrome,Miami,USA
suzuka,Suzuka Circuit,Suzuka,Japan
villeneuve,Circuit Gilles Villeneuve,Montreal,Canada
vegas,Las Vegas Strip Street Circuit,Las Vegas,USA
shanghai,Shanghai International Circuit,Shanghai,China
