driver_ref,full_name,abbreviation,number,dob,nationality
aitken,Jack Aitken,AIT,89,1995-09-23,British
albon,Alexander Albon,ALB,23,1996-03-23,Thai
bottas,Valtteri Bottas,BOT,77,1989-08-28,Finnish
pietro_fittipaldi,Pietro Fittipaldi,FIT,51,1996-06-25,Brazilian
gasly,Pierre Gasly,GAS,10,1996-02-07,French
giovinazzi,Antonio Giovinazzi,GIO,99,1993-12-14,Italian
grosjean,Romain Grosjean,GRO,8,1986-04-17,French
hamilton,Lewis Hamilton,HAM,44,1985-01-07,British
hulkenberg,Nico Hülkenberg,HUL,27,1987-08-19,German
kvyat,Daniil Kvyat,KVY,26,1994-04-26,Russian
latifi,Nicholas Latifi,LAT,6,1995-06-29,Canadian
leclerc,Charles Leclerc,LEC,16,1997-10-16,Monegasque
kevin_magnussen,Kevin Magnussen,MAG,20,1992-10-05,Danish
norris,Lando Norris,NOR,4,1999-11-13,British
ocon,Esteban Ocon,OCO,31,1996-09-17,French
perez,Sergio Pérez,PER,11,1990-01-26,Mexican
raikkonen,Kimi Räikkönen,RAI,7,1979-10-17,Finnish
ricciardo,Daniel Ricciardo,RIC,3,1989-07-01,Australian
russell,George Russell,RUS,63,1998-02-15,British
sainz,Carlos Sainz,SAI,55,1994-09-01,Spanish
stroll,Lance Stroll,STR,18,1998-10-29,Canadian
max_verstappen,Max Verstappen,VER,33,1997-09-30,Dutch
vettel,Sebastian Vettel,VET,5,1987-07-03,German
alonso,Fernando Alonso,ALO,14,1981-07-29,Spanish
kubica,Robert Kubica,KUB,88,1984-12-07,Polish
mazepin,Nikita Mazepin,MAZ,9,1999-03-02,Russian
mick_schumacher,Mick Schumacher,MSC,47,1999-03-22,German
tsunoda,Yuki Tsunoda,TSU,22,2000-05-11,Japanese
de_vries,Nyck de Vries,DEV,21,1995-02-06,Dutch
zhou,Guanyu Zhou,ZHO,24,1999-05-30,Chinese
lawson,Liam Lawson,LAW,30,2002-02-11,New Zealander
piastri,Oscar Piastri,PIA,81,2001-04-06,Australian
sargeant,Logan Sargeant,SAR,2,2000-12-31,American
antonelli,Andrea Kimi Antonelli,ANT,12,2006-08-25,Italian
bearman,Oliver Bearman,BEA,87,2005-05-08,British
colapinto,Franco Colapinto,COL,43,2003-05-27,Argentine
doohan,Jack Doohan,DOO,7,2003-01-20,Australian
