season,round,event_name,event_date,circuit_ref
2020,1,Austrian Grand Prix,2020-07-05,red_bull_ring
2020,2,Styrian Grand Prix,2020-07-12,red_bull_ring
2020,3,Hungarian Grand Prix,2020-07-19,hungaroring
2020,4,British Grand Prix,2020-08-02,silverstone
2020,5,70th Anniversary Grand Prix,2020-08-09,silverstone
2020,6,Spanish Grand Prix,2020-08-16,catalunya
2020,7,Belgian Grand Prix,2020-08-30,spa
2020,8,Italian Grand Prix,2020-09-06,monza
2020,9,Tuscan Grand Prix,2020-09-13,mugello
2020,10,Russian Grand Prix,2020-09-27,sochi
2020,11,Eifel Grand Prix,2020-10-11,nurburgring
2020,12,Portuguese Grand Prix,2020-10-25,portimao
2020,13,Emilia Romagna Grand Prix,2020-11-01,imola
2020,14,Turkish Grand Prix,2020-11-15,istanbul
2020,15,Bahrain Grand Prix,2020-11-29,bahrain
2020,16,Sakhir Grand Prix,2020-12-06,bahrain
2020,17,Abu Dhabi Grand Prix,2020-12-13,yas_marina
2021,1,Bahrain Grand Prix,2021-03-28,bahrain
2021,2,Emilia Romagna Grand Prix,2021-04-18,imola
2021,3,Portuguese Grand Prix,2021-05-02,portimao
2021,4,Spanish Grand Prix,2021-05-09,catalunya
2021,5,Monaco Grand Prix,2021-05-23,monaco
2021,6,Azerbaijan Grand Prix,2021-06-06,baku
2021,7,French Grand Prix,2021-06-20,ricard
2021,8,Styrian Grand Prix,2021-06-27,red_bull_ring
2021,9,Austrian Grand Prix,2021-07-04,red_bull_ring
2021,10,British Grand Prix,2021-07-18,silverstone
2021,11,Hungarian Grand Prix,2021-08-01,hungaroring
2021,12,Belgian Grand Prix,2021-08-29,spa
2021,13,Dutch Grand Prix,2021-09-05,zandvoort
2021,14,Italian Grand Prix,2021-09-12,monza
2021,15,Russian Grand Prix,2021-09-26,sochi
2021,16,Turkish Grand Prix,2021-10-10,istanbul
2021,17,United States Grand Prix,2021-10-24,americas
2021,18,Mexico City Grand Prix,2021-11-07,rodriguez
2021,19,São Paulo Grand Prix,2021-11-14,interlagos
2021,20,Qatar Grand Prix,2021-11-21,losail
2021,21,Saudi Arabian Grand Prix,2021-12-05,jeddah
2021,22,Abu Dhabi Grand Prix,2021-12-12,yas_marina
2022,1,Bahrain Grand Prix,2022-03-20,bahrain
2022,2,Saudi Arabian Grand Prix,2022-03-27,jeddah
2022,3,Australian Grand Prix,2022-04-10,albert_park
2022,4,Emilia Romagna Grand Prix,2022-04-24,imola
2022,5,Miami Grand Prix,2022-05-08,miami
2022,6,Spanish Grand Prix,2022-05-22,catalunya
2022,7,Monaco Grand Prix,2022-05-29,monaco
2022,8,Azerbaijan Grand Prix,2022-06-12,baku
2022,9,Canadian Grand Prix,2022-06-19,villeneuve
2022,10,British Grand Prix,2022-07-03,silverstone
2022,11,Austrian Grand Prix,2022-07-10,red_bull_ring
2022,12,French Grand Prix,2022-07-24,ricard
2022,13,Hungarian Grand Prix,2022-07-31,hungaroring
2022,14,Belgian Grand Prix,2022-08-28,spa
2022,15,Dutch Grand Prix,2022-09-04,zandvoort
2022,16,Italian Grand Prix,2022-09-11,monza
2022,17,Singapore Grand Prix,2022-10-02,marina_bay
2022,18,Japanese Grand Prix,2022-10-09,suzuka
2022,19,United States Grand Prix,2022-10-23,americas
2022,20,Mexico City Grand Prix,2022-10-30,rodriguez
2022,21,São Paulo Grand Prix,2022-11-13,interlagos
2022,22,Abu Dhabi Grand Prix,2022-11-20,yas_marina
2023,1,Bahrain Grand Prix,2023-03-05,bahrain
2023,2,Saudi Arabian Grand Prix,2023-03-19,jeddah
2023,3,Australian Grand Prix,2023-04-02,albert_park
2023,4,Azerbaijan Grand Prix,2023-04-30,baku
2023,5,Miami Grand Prix,2023-05-07,miami
2023,6,Monaco Grand Prix,2023-05-28,monaco
2023,7,Spanish Grand Prix,2023-06-04,catalunya
2023,8,Canadian Grand Prix,2023-06-18,villeneuve
2023,9,Austrian Grand Prix,2023-07-02,red_bull_ring
2023,10,British Grand Prix,2023-07-09,silverstone
2023,11,Hungarian Grand Prix,2023-07-23,hungaroring
2023,12,Belgian Grand Prix,2023-07-30,spa
2023,13,Dutch Grand Prix,2023-08-27,zandvoort
2023,14,Italian Grand Prix,2023-09-03,monza
2023,15,Singapore Grand Prix,2023-09-17,marina_bay
2023,16,Japanese Grand Prix,2023-09-24,suzuka
2023,17,Qatar Grand Prix,2023-10-08,losail
2023,18,United States Grand Prix,2023-10-22,americas
2023,19,Mexico City Grand Prix,2023-10-29,rodriguez
2023,20,São Paulo Grand Prix,2023-11-05,interlagos
2023,21,Las Vegas Grand Prix,2023-11-19,vegas
2023,22,Abu Dhabi Grand Prix,2023-11-26,yas_marina
2024,1,Bahrain Grand Prix,2024-03-02,bahrain
2024,2,Saudi Arabian Grand Prix,2024-03-09,jeddah
2024,3,Australian Grand Prix,2024-03-24,albert_park
2024,4,Japanese Grand Prix,2024-04-07,suzuka
2024,5,Chinese Grand Prix,2024-04-21,shanghai
2024,6,Miami Grand Prix,2024-05-05,miami
2024,7,Emilia Romagna Grand Prix,2024-05-19,imola
2024,8,Monaco Grand Prix,2024-05-26,monaco
2024,9,Canadian Grand Prix,2024-06-09,villeneuve
2024,10,Spanish Grand Prix,2024-06-23,catalunya
2024,11,Austrian Grand Prix,2024-06-30,red_bull_ring
2024,12,British Grand Prix,2024-07-07,silverstone
2024,13,Hungarian Grand Prix,2024-07-21,hungaroring
2024,14,Belgian Grand Prix,2024-07-28,spa
2024,15,Dutch Grand Prix,2024-08-25,zandvoort
2024,16,Italian Grand Prix,2024-09-01,monza
2024,17,Azerbaijan Grand Prix,2024-09-15,baku
2024,18,Singapore Grand Prix,2024-09-22,marina_bay
2024,19,United States Grand Prix,2024-10-20,americas
2024,20,Mexico City Grand Prix,2024-10-27,rodriguez
2024,21,São Paulo Grand Prix,2024-11-03,interlagos
2024,22,Las Vegas Grand Prix,2024-11-23,vegas
2024,23,Qatar Grand Prix,2024-12-01,losail
2024,24,Abu Dhabi Grand Prix,2024-12-08,yas_marina
