season,round,driver_ref,constructor_ref,finishing_position,grid_position,status,points,fastest_lap_time,fastest_lap_number
2020,1,bottas,mercedes,1,1,Finished,25.0,1:07.657,68.0
2020,1,leclerc,ferrari,2,7,Finished,18.0,1:07.901,64.0
2020,1,norris,mclaren,3,3,Finished,16.0,1:07.475,71.0
2020,1,hamilton,mercedes,4,5,Finished,12.0,1:07.712,67.0
2020,1,sainz,mclaren,5,8,Finished,10.0,1:07.974,63.0
2020,1,perez,racing_point,6,6,Finished,8.0,1:08.305,63.0
2020,1,gasly,alphatauri,7,12,Finished,6.0,1:09.025,64.0
2020,1,ocon,renault,8,14,Finished,4.0,1:08.932,64.0
2020,1,giovinazzi,alfa,9,18,Finished,2.0,1:08.796,70.0
2020,1,vettel,ferrari,10,11,Finished,1.0,1:08.623,71.0
2020,1,latifi,williams,11,20,Finished,0.0,1:09.662,63.0
2020,1,kvyat,alphatauri,12,13,Suspension,0.0,1:09.135,50.0
2020,1,albon,red_bull,13,4,Electronics,0.0,1:08.432,50.0
2020,1,raikkonen,alfa,14,19,Wheel,0.0,1:09.031,48.0
2020,1,russell,williams,15,17,Fuel pressure,0.0,1:09.317,49.0
2020,1,grosjean,haas,16,15,Brakes,0.0,1:10.228,46.0
2020,1,kevin_magnussen,haas,17,16,Brakes,0.0,1:10.720,23.0
2020,1,stroll,racing_point,18,9,Engine,0.0,1:10.326,4.0
2020,1,ricciardo,renault,19,10,Overheating,0.0,1:10.610,8.0
2020,1,max_verstappen,red_bull,20,2,Electronics,0.0,1:09.351,5.0
2020,2,hamilton,mercedes,1,1,Finished,25.0,1:06.719,68.0
2020,2,bottas,mercedes,2,4,Finished,18.0,1:07.534,62.0
2020,2,max_verstappen,red_bull,3,2,Finished,15.0,1:06.145,70.0
2020,2,albon,red_bull,4,6,Finished,12.0,1:07.299,67.0
2020,2,norris,mclaren,5,9,Finished,10.0,1:07.193,66.0
2020,2,perez,racing_point,6,17,Finished,8.0,1:07.188,68.0
2020,2,stroll,racing_point,7,12,Finished,6.0,1:07.833,65.0
2020,2,ricciardo,renault,8,8,Finished,4.0,1:07.832,65.0
2020,2,sainz,mclaren,9,3,+1 Lap,3.0,1:05.619,68.0
2020,2,kvyat,alphatauri,10,13,+1 Lap,1.0,1:08.378,60.0
2020,2,raikkonen,alfa,11,16,+1 Lap,0.0,1:08.382,57.0
2020,2,kevin_magnussen,haas,12,15,+1 Lap,0.0,1:08.009,69.0
2020,2,grosjean,haas,13,0,+1 Lap,0.0,1:08.047,69.0
2020,2,giovinazzi,alfa,14,19,+1 Lap,0.0,1:08.512,54.0
2020,2,gasly,alphatauri,15,7,+1 Lap,0.0,1:07.827,69.0
2020,2,russell,williams,16,11,+2 Laps,0.0,1:08.601,36.0
2020,2,latifi,williams,17,18,+2 Laps,0.0,1:08.806,68.0
2020,2,ocon,renault,18,5,Overheating,0.0,1:09.321,22.0
2020,2,leclerc,ferrari,19,14,Collision damage,0.0,1:35.379,3.0
2020,2,vettel,ferrari,20,10,Collision damage,0.0,,
2020,3,hamilton,mercedes,1,1,Finished,26.0,1:16.627,70.0
2020,3,max_verstappen,red_bull,2,7,Finished,18.0,1:19.184,60.0
2020,3,bottas,mercedes,3,2,Finished,15.0,1:17.665,66.0
2020,3,stroll,racing_point,4,3,Finished,12.0,1:18.973,68.0
2020,3,albon,red_bull,5,13,Finished,10.0,1:19.440,68.0
2020,3,vettel,ferrari,6,5,+1 Lap,8.0,1:20.363,49.0
2020,3,perez,racing_point,7,4,+1 Lap,6.0,1:20.090,39.0
2020,3,ricciardo,renault,8,11,+1 Lap,4.0,1:19.532,46.0
2020,3,sainz,mclaren,9,9,+1 Lap,2.0,1:20.477,68.0
2020,3,kevin_magnussen,haas,10,0,+1 Lap,1.0,1:19.457,67.0
2020,3,leclerc,ferrari,11,6,+1 Lap,0.0,1:20.821,64.0
2020,3,kvyat,alphatauri,12,17,+1 Lap,0.0,1:20.946,51.0
2020,3,norris,mclaren,13,8,+1 Lap,0.0,1:19.945,42.0
2020,3,ocon,renault,14,14,+1 Lap,0.0,1:20.261,40.0
2020,3,raikkonen,alfa,15,20,+1 Lap,0.0,1:20.889,67.0
2020,3,grosjean,haas,16,0,+1 Lap,0.0,1:20.232,61.0
2020,3,giovinazzi,alfa,17,19,+1 Lap,0.0,1:20.096,44.0
2020,3,russell,williams,18,12,+1 Lap,0.0,1:19.984,67.0
2020,3,latifi,williams,19,15,+5 Laps,0.0,1:21.198,64.0
2020,3,gasly,alphatauri,20,10,Engine,0.0,1:23.939,10.0
2020,4,hamilton,mercedes,1,1,Finished,25.0,1:29.238,45.0
2020,4,max_verstappen,red_bull,2,3,Finished,19.0,1:27.097,52.0
2020,4,leclerc,ferrari,3,4,Finished,15.0,1:29.813,49.0
2020,4,ricciardo,renault,4,8,Finished,12.0,1:29.482,49.0
2020,4,norris,mclaren,5,5,Finished,10.0,1:30.058,41.0
2020,4,ocon,renault,6,9,Finished,8.0,1:29.491,50.0
